"logno","name","message","ip","color","user_option","serv_option","logtime"
"1811828911","えり","良いと思います！！","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:45:40"
"1811829053","HK161","えいやくできる？","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:45:58"
"1811829148","えり","ページの？？","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:46:11"
"1811829260","HK161","HPの","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:46:26"
"1811829555","えり","あ～、程度によるけど頑張ります！","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:46:59"
"1811830143","HK161","実際の設定やらなんやらはぼるまがやってくれる、はずだからＷ","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:48:10"
"1811830363","えり","あとは、日本の手遊び体験なんかやってみるとおもしろいかもですね","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:48:37"
"1811830426","No35 杉下右京","いいですね","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:48:46"
"1811830839","HK161","あれ、これ居酒屋の話だよね…？","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:49:38"
"1811830923","えり","これも程度問題ですけど、店員さんの負担にならないように材料と遊び方を書いた紙を置いておくとか","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:49:48"
"1811831006","えり","うん、","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:49:58"
"1811831197","HK161","話が変な方向に流れないよう気を付けてねｗ","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:50:23"
"1811831348","No35 杉下右京","待ち時間もそれで遊べるし。","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:50:46"
"1811831672","131.213.43.233","ENTER:マロン","NOTIFY","",,,"2018/06/16 21:51:23"
"1811831785","No35 杉下右京","あ","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:51:33"
"1811831832","131.213.43.233","EXIT:マロン","NOTIFY","",,,"2018/06/16 21:51:39"
"1811831844","HK161","というかあれだ、店内のかざりつけを解説した紙を置くんだｗ","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:51:40"
"1811832014","131.213.43.233","ENTER:マロン","NOTIFY","",,,"2018/06/16 21:51:58"
"1811832141","No35 杉下右京","あ","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:52:08"
"1811832365","HK161","ふぁ?","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:52:32"
"1811832800","えり","あ、これって過去のチャットを全部さかのぼれないんですか？","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:53:26"
"1811832955","No35 杉下右京","遡れると思います","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:53:43"
"1811833002","HK161","というか客層的に手遊びというよりは宴会げい…","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:53:49"
"1811833033","えり","私だけかな、、、","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:53:52"
"1811833132","HK161","よそう、危ない奴やｗ","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:54:03"
"1811833222","えり","了解です","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:54:13"
"1811833315","HK161","さかのぼれないのは俺もですｗ","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:54:21"
"1811833394","えり","どうしましょ","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:54:32"
"1811833539","No35 杉下右京","少し待っててください","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:54:48"
"1811833549","HK161","交代で監視?","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:54:49"
"1811833744","えり","あ、あとマロンさんって誰ですか？","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:55:17"
"1811833869","えり","ヒントだけで良いので","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:55:33"
"1811834312","No35 杉下右京","NO33","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:56:29"
"1811834564","131.213.43.233","EXIT_P:マロン","NOTIFY","",,,"2018/06/16 21:56:59"
"1811834609","えり","あ、わかりました","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:57:04"
"1811834616","No35 杉下右京","遡れるように設定しました","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:57:05"
"1811834639","HK161","暫定的に容量5倍にしました","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:57:08"
"1811834750","No35 杉下右京","機能/","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:57:22"
"1811834774","えり","ありがとうございます！","219.19.102.12","","","openid=JMh7vLY0LbcFFMYPYMDBygRPmKeTzWJO&","2018/06/16 21:57:25"
"1811834844","219.19.102.12","EXIT:えり","NOTIFY","",,,"2018/06/16 21:57:34"
"1811834901","No35 杉下右京","設定の過去ログの閲覧から行けると思います","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=sSSw6mnEANmNUzJeV6AXJVCCgut7QUnj&","2018/06/16 21:57:40"
"1811834949","219.19.102.12","ENTER:えり","NOTIFY","",,,"2018/06/16 21:57:44"
"1811834986","HK161","では俺も","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:57:47"
"1811835076","HK161","さよなら―","60.112.103.16","#000000","bold=false&italic=false&strike=false&size=normal","openid=olTEhRniJJmi9rSGo31qM8TRHIP75zTe&","2018/06/16 21:57:56"
"1811835203","60.112.103.16","EXIT:HK161","NOTIFY","",,,"2018/06/16 21:58:07"
"1811835270","219.19.102.12","EXIT:えり","NOTIFY","",,,"2018/06/16 21:58:13"
"1811835361","221.113.161.254","EXIT:No35 杉下右京","NOTIFY","",,,"2018/06/16 21:58:21"
"1811835955","221.113.161.254","ENTER:No35 杉下右京","NOTIFY","",,,"2018/06/16 21:59:28"
"1811835997","221.113.161.254","EXIT:No35 杉下右京","NOTIFY","",,,"2018/06/16 21:59:33"
"1811838115","42.144.56.74","ENTER:F.R.","NOTIFY","",,,"2018/06/16 22:03:17"
"1811839312","42.144.56.74","EXIT:F.R.","NOTIFY","",,,"2018/06/16 22:05:26"
"1811849210","219.19.102.12","ENTER:えり","NOTIFY","",,,"2018/06/16 22:21:01"
"1811849446","219.19.102.12","EXIT:えり","NOTIFY","",,,"2018/06/16 22:21:22"
"1811873582","221.113.161.254","ENTER:No35 杉下右京","NOTIFY","",,,"2018/06/16 22:59:57"
"1811877116","No35 杉下右京","試しにサーバー借りてみます","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=VQlGfHfWEvS6ap6Pobls4hMvvSJ6poRR&","2018/06/16 23:06:50"
"1811877553","No35 杉下右京","住所とかいろいろしなきゃいけないのでやめました","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=VQlGfHfWEvS6ap6Pobls4hMvvSJ6poRR&","2018/06/16 23:07:45"
"1811885773","221.113.161.254","EXIT_P:No35 杉下右京","NOTIFY","",,,"2018/06/16 23:24:17"
"1811961322","219.19.102.12","ENTER:えり","NOTIFY","",,,"2018/06/17 06:54:00"
"1811961349","219.19.102.12","EXIT:えり","NOTIFY","",,,"2018/06/17 06:54:50"
"1811963894","131.213.43.233","ENTER:マロン","NOTIFY","",,,"2018/06/17 08:31:04"
"1811963972","131.213.43.233","EXIT:マロン","NOTIFY","",,,"2018/06/17 08:33:24"
"1811983716","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 12:04:37"
"1811995670","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 13:49:42"
"1811996186","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 13:54:31"
"1811996684","131.213.43.233","ENTER:マロン","NOTIFY","",,,"2018/06/17 13:58:03"
"1811996756","131.213.43.233","EXIT:マロン","NOTIFY","",,,"2018/06/17 13:58:32"
"1811999526","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 14:21:07"
"1812000286","No35 ET","再確認なんですけど、浜松町のお店ですよね？","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=LBhFaPPcBZSlRAQjX1V2UWi9XhCPXMAh&","2018/06/17 14:27:14"
